Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:2.30.42.10:FF:000120	Ligand of numb-protein X 2	329	421	2.6E-44	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF50156	PDZ domain-like	568	685	2.63E-25	T	26-02-2025	IPR036034	PDZ superfamily	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF57850	RING/U-box	42	95	1.37E-13	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	Pfam	PF13923	Zinc finger, C3HC4 type (RING finger)	50	86	4.8E-5	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd16780	mRING-HC-C3HC3D_LNX2	45	89	8.90387E-30	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd06677	PDZ1_LNX1_2-like	229	317	5.49956E-57	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd06678	PDZ2_LNX1_2-like	338	420	5.11803E-50	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	MobiDBLite	mobidb-lite	consensus disorder prediction	418	455	-	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	SUPERFAMILY	SSF50156	PDZ domain-like	328	426	1.71E-20	T	26-02-2025	IPR036034	PDZ superfamily	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	Gene3D	G3DSA:2.30.42.10	-	592	686	1.5E-22	T	26-02-2025	IPR036034	PDZ superfamily	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	MobiDBLite	mobidb-lite	consensus disorder prediction	198	224	-	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	CDD	cd06680	PDZ4_LNX1_2-like	599	687	9.03994E-57	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	Gene3D	G3DSA:2.30.42.10	-	433	554	2.0E-25	T	26-02-2025	IPR036034	PDZ superfamily	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	ProSiteProfiles	PS50106	PDZ domain profile.	468	554	19.038599	T	26-02-2025	IPR001478	PDZ domain	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:3.30.40.10:FF:000120	ligand of Numb protein X 2	19	147	4.6E-75	T	26-02-2025	-	-	-	-
Q8N448	4b9ca3d3b6b17132cab42a4f37472d1a	690	FunFam	G3DSA:2.30.42.10:FF:000164	Ligand of numb-protein X 2	220	324	2.1E-53	T	26-02-2025	-	-	-	-
